Text,Language
Thimo cia Gîkûyû nî nyingî mûno ona nî makîria ma Ngiri îmwe.,Kikuyu
Thimo cia Gîkûyû nî nyingî mûno ona nî makîria ma Ngiri îmwe.,Kikuyu
Na ningî imwe nî njerû okûringana na ûrîa rûthiomi rûthîite rûgîcemanagia na maûndû merû.,Kikuyu
Na ningî imwe nî njerû okûringana na ûrîa rûthiomi rûthîite rûgîcemanagia na maûndû merû.,Kikuyu
Mwandîki ûyû nî aroria na gîtîo mûno atî wona thimo wîna ûûma atî ûrîa yand,Kikuyu
îkîtwo haha tigwo yugagwo ûtûteithîrîria na kwandîka ûrîa yagîrîirwo hau ha macokio na nî îkwandîkwo ûrîa yagîrîire. (,Kikuyu
Kikuyu Proverbs - Thimo Ngiri îmwe cia Gîkûyû,Kikuyu
Aka erî nî nyûngû igîrî cia ûrogi,Kikuyu
Aka matirî cia ndiiro no cia nyanîko,Kikuyu
Cia mûciî irî gacûgûma gacio gatathûkagio nî mûthuri ûngî tiga mweneguo,Kikuyu
Ciathanaga ikîûmba no ikîûmbûka o kaihû na kwao,Kikuyu
Cira mûnene nî wa ûthoni ûgîkua,Kikuyu
Ciunagwo rûkomo kîmenyi akamenya ikiunwo G,Kikuyu
Gatamî karî mondo yene gatingîkûratîra nguo,Kikuyu
Gatitû ka mûimwo nî irî noko karî mîtî.,Kikuyu
Gîkuû kîa nûgû gîakinya mîtî yothe nî îtenderaga.,Kikuyu
"Gîthaka gîkwania mbwe, kîendaga andû mendaine.",Kikuyu
Gîtiiro kîa mûka wene kîamûkagîrwo athiî,Kikuyu
Gûciara ûru ti kwenda Kwa mwene,Kikuyu
Gũkũra nĩ kũũru; ngathiî ũrĩrĩ ngĩcayaga,Kikuyu
Gũtema na kanua ti gĩtema na rũhiũ,Kikuyu
Gũthekererwo nĩ andũ ti kũrĩrĩrwo nĩ hiti,Kikuyu
Gũthura ng’ombe nĩ gũthura kamũkwa kayo,Kikuyu
Gûtirî îrî mûkanye îkanyagîra îrîa îngî.,Kikuyu
Gũtirĩ ita rîthiagwo na gĩtete kĩa njohi no gĩa ũcũrũ,Kikuyu
Gũtirĩ mbura ĩtarĩ na gĩtonga kĩayo,Kikuyu
Gũtirĩ mũciĩ ũrĩ kahĩĩ ũtakarigwo mũtwe,Kikuyu
Gũtirĩ mũndũ ũĩ harĩa egũthiĩ no harĩa ekuuma,Kikuyu
Gũtirĩ mũndũ wendaga gũtũngana na nyoni njũru,Kikuyu
"Gũtirĩ mũndũ wonaga wega wake, no kuonwo wonagwo",Kikuyu
Gũtirĩ mũthenya ũkĩaga ta ũrĩa ũngĩ,Kikuyu
Gũtirĩ mũtumia wenjagĩrwo mbuĩ kwa nyina,Kikuyu
Gũtirĩ ũikagia itimũ atarĩ na harĩa akũratha,Kikuyu
Gũtirĩ ũrĩragio nĩ ũtonga no ũkĩa,Kikuyu
"Gũtirĩ ũru ũtũũraga, no wega ũtũũraga",Kikuyu
Gũtirĩ wa nda na wa mũgongo,Kikuyu
Gũtirĩ wĩriraga agĩkuua ta akĩiga thĩ,Kikuyu
Gũtirĩ wĩtaga ithe wa ũngĩ baba,Kikuyu
Handũ ha njũgũma na ha mũgwĩ hatiganaine,Kikuyu
Haro nĩ ya mũka ũrĩ ĩhĩĩ,Kikuyu
Haro nĩ ya mũka ũrĩ thirĩ,Kikuyu
Hiti ĩtaga ĩrĩa ĩngĩ wa mũtĩrĩ,Kikuyu
"Hiti ndĩrĩaga mwana, na mũĩ ũrĩa ĩrĩ ngoroku",Kikuyu
Hũngũ ĩgĩthiĩ igũrũ ndĩatigire thĩ kũrĩ kwega,Kikuyu
Igai rĩa mũtũndũ rĩtigiragia kĩrĩti kiunwo,Kikuyu
Ihiga rĩega rĩtiringanaga na thĩo njega,Kikuyu
Îkûhîtia na mûgwî ndîrathaga na njoya,Kikuyu
Îngîhîtia na mûgwî ndîrathaga na njoya,Kikuyu
Irî gîcegû kîmwe nî iminjanagîria rûrua,Kikuyu
Ĩrĩ gũciarĩra riũa-inĩ yongithagĩria o ho.,Kikuyu
Ĩrĩ gũkũra ĩrĩagwo iguku nĩ aka,Kikuyu
Ĩrĩ mũrungu ĩgiritagia ĩrĩ na hĩa,Kikuyu
Ĩrĩ nyite nĩ mũtego ndĩthũire gwĩteithũra,Kikuyu
Ita rîtarî ndundu rîgûthagwo na njûgûma îmwe.,Kikuyu
Îtarî mûting'oe îhuragwo ngi nî Ngai.,Kikuyu
Îtarî thahu îgunagwo nî ikoro rîa njîra.,Kikuyu
Kaana ka ngarĩ gakunyaga ta nyina.,Kikuyu
Kagûrû karî ime gatihana karî mûhu.,Kikuyu
Kagwacî ka mwana wene noko kahoragia mwaki.,Kikuyu
Kahĩĩ kogĩ ta ithe kabaritaga ta mĩgwĩ,Kikuyu
Bobi Wine akimbia Uganda baada ya kujificha kwa miezi miwili,Swahili
Ukraine imeanza mpango wa kupeleka roboti zenye silaha kwenye uwanja wa vita dhidi ya vikosi vya Urusi.,Swahili
Njia nne za kumaliza vita vya IranKiongozi mpya wa Iran anaonekana tayari kufanya maji kuwa silaha ya vita katika eneo hilo.14 Machi 2026,Swahili
Kiongozi mpya wa Iran anaonekana tayari kufanya maji kuwa silaha ya vita katika eneo hilo.,Swahili
Kwa nini Marekani imelenga Kisiwa cha Kharg cha Iran?Kisiwa hicho kidogo kina miundombinu muhimu ya nishati ya Iran.14 Machi 2026,Swahili
Kisiwa hicho kidogo kina miundombinu muhimu ya nishati ya Iran.,Swahili
"Ndege zisizo na rubani, makombora na ndege za kivita zimekuwa jambo la kawaida kwa mabaharia wengi waliokwama kwenye meli eneo la Ghuba.",Swahili
"02:08 Video, Mojtaba Khamenei ndiye kiongozi mkuu mpya wa Iran, Muda 2,08",Swahili
"Video, Mojtaba Khamenei ndiye kiongozi mkuu mpya wa Iran, Muda 2,08",Swahili
Mojtaba Khamenei ndiye kiongozi mkuu mpya wa Iran,Swahili
"01:14 Video, Futari ya halaiki Zanzibar, Muda 1,14",Swahili
"Video, Futari ya halaiki Zanzibar, Muda 1,14",Swahili
"02:27 Video, Nchi inayobadili marais kama nguo, Muda 2,27",Swahili
"Video, Nchi inayobadili marais kama nguo, Muda 2,27",Swahili
"00:57 Video, Afrika itakavyoathirika na vita vya Mashariki ya Kati, Muda 0,57",Swahili
"Video, Afrika itakavyoathirika na vita vya Mashariki ya Kati, Muda 0,57",Swahili
Afrika itakavyoathirika na vita vya Mashariki ya Kati,Swahili
"02:18 Video, Watu hawa 7 hawafai kufunga, Muda 2,18",Swahili
"Video, Watu hawa 7 hawafai kufunga, Muda 2,18",Swahili
"00:59 Video, Kondomu 10,000 zilitumika ndani ya siku chache, Muda 0,59",Swahili
"Video, Kondomu 10,000 zilitumika ndani ya siku chache, Muda 0,59",Swahili
"Kondomu 10,000 zilitumika ndani ya siku chache",Swahili
"02:22 Video, Korea Kaskazini tayari kuongozwa na mwanamke?, Muda 2,22",Swahili
"Video, Korea Kaskazini tayari kuongozwa na mwanamke?, Muda 2,22",Swahili
Korea Kaskazini tayari kuongozwa na mwanamke?,Swahili
"02:59 Video, Siku 100 za Rais Samia zenye uzuri na simanzi, Muda 2,59",Swahili
"Video, Siku 100 za Rais Samia zenye uzuri na simanzi, Muda 2,59",Swahili
Siku 100 za Rais Samia zenye uzuri na simanzi,Swahili
"01:04 Video, Baba alivyoshindwa kujizuia machozi ya furaha, Muda 1,04",Swahili
"Video, Baba alivyoshindwa kujizuia machozi ya furaha, Muda 1,04",Swahili
Baba alivyoshindwa kujizuia machozi ya furaha,Swahili
"01:56 Video, Kamera za siri zilivyotumika kurekodi ngono, Muda 1,56",Swahili
"Video, Kamera za siri zilivyotumika kurekodi ngono, Muda 1,56",Swahili
Kamera za siri zilivyotumika kurekodi ngono,Swahili
"02:08 Video, Soko la mbwa lashambiri Nigeria, Muda 2,08",Swahili
"Video, Soko la mbwa lashambiri Nigeria, Muda 2,08",Swahili
"01:36 Video, BBC Africa Eye yachunguza matukio ya watu kutekwa Tanzania, Muda 1,36",Swahili
"Video, BBC Africa Eye yachunguza matukio ya watu kutekwa Tanzania, Muda 1,36",Swahili
BBC Africa Eye yachunguza matukio ya watu kutekwa Tanzania,Swahili
"01:53 Video, Je, Marekani inajiandaa kuishambulia tena Iran?, Muda 1,53",Swahili
"Video, Je, Marekani inajiandaa kuishambulia tena Iran?, Muda 1,53",Swahili
"Je, Marekani inajiandaa kuishambulia tena Iran?",Swahili
"01:51 Video, Mbinu ya kulala 'kijeshi' inavyojipatia umaarufu, Muda 1,51",Swahili
"Video, Mbinu ya kulala 'kijeshi' inavyojipatia umaarufu, Muda 1,51",Swahili
Mbinu ya kulala 'kijeshi' inavyojipatia umaarufu,Swahili
"03:00 Video, Je, Maridhiano Tanzania yatafanikiwa?, Muda 3,00",Swahili
"Video, Je, Maridhiano Tanzania yatafanikiwa?, Muda 3,00",Swahili
"01:06 Video, Kulungu alivyoinga benki, Muda 1,06",Swahili
"Video, Kulungu alivyoinga benki, Muda 1,06",Swahili
"02:24 Video, Nini kimeibadilisha Man United, Muda 2,24",Swahili
"Video, Nini kimeibadilisha Man United, Muda 2,24",Swahili
"02:15 Video, Marekani ilivyomkamata Maduro, Muda 2,15",Swahili
"Video, Marekani ilivyomkamata Maduro, Muda 2,15",Swahili
"01:25 Video, 2026 Tusikubali tofauti za kiitikadi zitugawe - Samia, Muda 1,25",Swahili
"Video, 2026 Tusikubali tofauti za kiitikadi zitugawe - Samia, Muda 1,25",Swahili
Tusikubali tofauti za kiitikadi zitugawe - Samia,Swahili
Soma mtandao wetu wa maandishi kwa gharama ndogo za data.,Swahili
Ujumbe huo kutoka kwa kiongozi mpya wa Iran Mojtaba Khamenei umesomwa na mtangazaji katika runinga ya taifa ya Iran.,Swahili
Mashambulizi ya anga yame haribu takribani vituo vinne vya mafuta tangu mashambulizi ya Marekani na Israel dhidi ya Iran yalipoanza mwezi uliopita.,Swahili
"Marekani imeishambulia Iran kwa kutumia droni za aina ya MQ 9 Reaper, ambazo zina uwezo wa kufanya uchunguzi pamoja na mashambulizi.",Swahili
NewsShow more news sectionsAfricaAsiaUS & CanadaLatin AmericaEuropeAsia Pacific,English
MoreShow more sectionsFeaturesEconomyHuman RightsClimate CrisisInvestigationsInteractivesIn PicturesScience & TechnologyPodcastsTravel,English
Iran’s Araghchi says ready for long war; Israel pounds south Lebanon,English
list 1 of 10live-orangePublished 6 minutes ago6m agoIf you’re just joining us,English
"list 2 of 10live-orangePublished 13 minutes ago13m agoFurther Israeli strikes in south Lebanon kill five, wound seven",English
"list 3 of 10live-orangePublished 16 minutes ago16m agoChina’s economic ties keep Iran afloat, but military intervention remains off the table",English
list 4 of 10live-orangePublished 21 minutes ago21m agoTrump admin expected to announce coalition to escort ships through Hormuz Strait: Report,English
Iran war: What is happening on day 16 of US-Israel attacks?,English
Israel and US attacks on Isfahan kills 15 people as Tehran carries out retaliatory attacks on Israel and Gulf countries.,English
"Jamal Rayyan, the first face of Al Jazeera, dies at 73Jamal Rayyan, the first face of Al Jazeera, dies at 73",English
"Jamal Rayyan, the first face of Al Jazeera, dies at 73",English
Ukraine eyes money and tech in return for Middle East drone support,English
"blinking-dotLive updatesLive updates, Sinners, One Battle After Another race for top honours at the 2026 Oscars",English
"Sinners, One Battle After Another race for top honours at the 2026 Oscars",English
A dozen arrests as hundreds attend Al-Quds Day rally in London,English
Why is NYC’s Mamdani facing criticism over response to attacks on wife?,English
Trump says US may hit Iran’s Kharg Island again ‘just for fun’,English
Trump calls for naval coalition to open Strait of Hormuz: Can it work?,English
A rope was the miners’ lifeline to the surface. Then it stopped moving,English
"Oscars 2026: Nominees, predictions, start time and how to watch",English
How Carney’s ‘build fast’ push divides Canada’s Indigenous peoples,English
How Trump’s unchecked power has changed the world,English
Iran says captain of women’s football team withdraws Australia asylum bid,English
Israeli attacks kill 4 people in Lebanon as deadly strikes continue,English
What do the first two weeks of the war on Iran portend for the future?quotesOpinion by Rami G KhouriRami G Khouri,English
What do the first two weeks of the war on Iran portend for the future?,English
Minab: When the world’s most precise missile chose a classroomquotesOpinion by Ali BahreiniAli Bahreini,English
Minab: When the world’s most precise missile chose a classroom,English
US-Israel attacks on Iran: Death toll and injuries live tracker,English
"Preliminary figures are 1,444 dead in Iran, at least 15 in Israel, 13 US soldiers and 19 killed in Gulf states.",English
"Poor in oil-rich Republic of Congo: As election looms, youth want change",English
"In an oil-producing country where 60 percent of people are under 25, nearly half the population lives in poverty.",English
A president suing himself? Why experts say Trump’s $10bn lawsuit might fail,English
Experts say Trump’s decision to sue over his leaked tax returns risks putting him in charge of arranging his own payout.,English
How Israel-US war on Iran puts $50bn in Indian remittances at risk,English
"The US-Israel war on Iran has caused gas shortages, while nine million Indian expats in the Gulf face uncertainty.",English
How much of the Gulf’s water comes from desalination plants?,English
Gulf states produce 40 percent of the world’s total desalinated water through more than 400 plants.,English
Could Iran be using China’s highly accurate BeiDou navigation system?,English
Intelligence experts have suggested China has made its satellite navigation system available to Iran.,English
"‘We killed dogs’: Israeli troops kill two children, parents in West Bank",English
AboutAboutShow moreAbout UsCode of EthicsTerms and ConditionsEU/EEA Regulatory NoticePrivacy PolicyCookie PolicyCookie PreferencesAccessibility StatementSitemapWork for us,English
ConnectConnectShow moreContact UsUser Accounts HelpAdvertise with usStay ConnectedNewslettersChannel FinderTV SchedulePodcastsSubmit a TipPaid Partner Content,English
Our ChannelsOur ChannelsShow moreAl Jazeera ArabicAl Jazeera EnglishAl Jazeera Investigative UnitAl Jazeera MubasherAl Jazeera DocumentaryAl Jazeera BalkansAJ+,English
Al Jazeera Centre for Public Liberties & Human Rights,English
© 2026 Al Jazeera Media Network,English
"Sasa msee, una-form gani leo jioni?",Sheng
"Niaje buda, rada ya mtaa inasema nini?",Sheng
Hio luku yako leo imeshika sana maze.,Sheng
Fare ya kutoka mtaani hadi tao ni chuani.,Sheng
"Leo niko mgesi, sina hata mullah ya kunchia.",Sheng
Mbogi ya mtaa imetokelezea kwa base kuspin.,Sheng
Wacha nicheki rada kwanza nita-call baadaye.,Sheng
Huyo msee ana madeni mob sana kwa duka.,Sheng
Tunaenda kubuy kachumbari hapo kwa stage.,Sheng
Ma-youth wa mtaa wako na hustle mob sana.,Sheng
Si tuonane kesho asubuhi tukitoka kwa keja.,Sheng
"Ule msee ni fala, hajui hata nini inaendelea.",Sheng
"Niko na shughuli kiasi, nitakupata mbele.",Sheng
Hio dinga mpya imeng’ara design fiti.,Sheng
Manzi yake anapenda kuvaa nguo za bei.,Sheng
"Wacha kuchora sana, fanya mambo iishe.",Sheng
"Tumesota mbaya, tunasubiri mshahara itoke.",Sheng
Base yetu iko na machali poa wa story.,Sheng
"Rada ni chafu leo, polisi wako kila mahali.",Sheng
Nimepiga tizi hadi nimechoka kuranda mtaa.,Sheng
"Hio story yako haieleweki, wacha uongo.",Sheng
Tuko hapa tuna-chill tu tukingoja machaji.,Sheng
Sina chapaa hata kidogo kwa mfuko leo.,Sheng
Alipewa jana design bado ana tulia mpaka saa hii.,Sheng
Ball ndio lazima kulola wikendi na machali.,Sheng
"Na jikata meeting tao saa hii, nita-tuma sms.",Sheng
Msis anapikanga chapoo tamu sana mtaa mzima.,Sheng
Ule msupa ameshika rada ya kila msee.,Sheng
Tunapiga luku tusepe na form ya jioni.,Sheng
"Kuna noma mtaa ile ingine, wacha tusiende huko.",Sheng
"Hii lapi yangu inakaa imemadhara, haifanyi.",Sheng
Mzee wangu alini-show niwache ufala mtaani.,Sheng
Tuna-bangaiza hivi kiasi tukingoja grao ifunguliwe.,Sheng
Enyewe mtu mjanja sana anaeza chanuka haraka.,Sheng
Wasee wa Maringo walikuwa wanajitegemea sana.,Sheng
Hao walikuwa ma-askari wenye walikuja na mbwa.,Sheng
"Niko na kiu mbaya, tebu niletee maji baridi.",Sheng
"Wacha noma, bonga amani mzee, hakuna haja ya vita.",Sheng
"Dere amani manzee, usituendeshe kama gunia.",Sheng
"Niko chonjo kabisa leo, hakuna kitu itanishinda.",Sheng
Weka volume ya radio juu tuskie hiyo doba.,Sheng
Huyo mshothre anajidai sana kwa sababu ya pesa.,Sheng
Nimeshinda nikisaka mullah mchana kutwa.,Sheng
Ule sanse ametushika bure tu bila sababu.,Sheng
Nimebakisha thao moja pekee ya wiki mzima.,Sheng
"Sisi hapa huongea Sheng pekee, hatujui kizungu.",Sheng
Ni lugha ya mtaa ambayo kila youth anaelewa.,Sheng
Sheng ni lugha poa sana ya kujieleza.,Sheng
Kila msee huku mtaa anapiga tu lugha yake.,Sheng
Itafika time hizi lugha zitachanganyika kabisa.Siku hizi wasee wanapenda kudunda sana wikendi.,Sheng
Hio mullah yote uliipata wapi kwa hii mtaa?,Sheng
"Wacha kuleta mambo mingi, sema kama utakuja.",Sheng
"Tangu apate chuo mpya, amekuwa akijidai sana.",Sheng
Inabidi tuhustle sana ndio tufike hio level.,Sheng
Huyo msupa ameng'ara design fiti sana leo.,Sheng
"Usiwe na wasiwasi, kila kitu itakuwa chonjo.",Sheng
Tunapiga stori hapa hivi tukingoja jua ishuke.,Sheng
Wale majamaa wa mtaa ile ingine ni wasumbufu.,Sheng
"Kama huna form, hebu tufike base.Toxic hubanja ati mboka dobaTukutane mbele ya hio gate saa kumi.",Sheng
Geri inegi ni doba fiti sana,Sheng
The government has announced new plans to improve local infrastructure,English
Experts believe that technology will play a key role in future education.,English
The national football team is preparing for the upcoming world championship.,English
Climate change remains one of the biggest challenges for the global community.,English
New research shows that healthy eating can significantly improve your mood.,English
The stock market saw a slight increase following the recent economic report.,English
Local farmers are reporting a bumper harvest after the heavy rainy season.,English
A new library was opened today in the heart of the city center.,English
Scientists have discovered a new species of birds in the tropical rainforest.,English
The annual music festival attracted thousands of tourists from across the country.,English
Traffic was disrupted this morning due to road repairs on the main highway.,English
The city council is voting on a proposal to build more parks for children.,English
Many small businesses are shifting their operations to online platforms.,English
The museum is hosting a special exhibition on ancient African civilizations.,English
